02/20/2007,MMM,AXP,T,BA,CAT,HON,C,KO,DIS,DD,XOM,GE,AA,HD,IBM,INTC,JNJ,JPM,MCD,MRK,MSFT,HPQ,PFE,PG,GM,UTX,AIG,VZ,MO,WMT
02/21/2007,MMM,AXP,T,BA,CAT,HON,C,KO,DIS,DD,XOM,GE,AA,HD,IBM,INTC,JNJ,JPM,MCD,MRK,MSFT,HPQ,PFE,PG,GM,UTX,AIG,VZ,MO,WMT
02/22/2007,MMM,AXP,T,BA,CAT,HON,C,KO,DIS,DD,XOM,GE,AA,HD,IBM,INTC,JNJ,JPM,MCD,MRK,MSFT,HPQ,PFE,PG,GM,UTX,AIG,VZ,MO,WMT
02/23/2007,MMM,AXP,T,BA,CAT,HON,C,KO,DIS,DD,XOM,GE,AA,HD,IBM,INTC,JNJ,JPM,MCD,MRK,MSFT,HPQ,PFE,PG,GM,UTX,AIG,VZ,MO,WMT
02/26/2007,MMM,AXP,T,BA,CAT,HON,C,KO,DIS,DD,XOM,GE,AA,HD,IBM,INTC,JNJ,JPM,MCD,MRK,MSFT,HPQ,PFE,PG,GM,UTX,AIG,VZ,MO,WMT
02/27/2007,MMM,AXP,T,BA,CAT,HON,C,KO,DIS,DD,XOM,GE,AA,HD,IBM,INTC,JNJ,JPM,MCD,MRK,MSFT,HPQ,PFE,PG,GM,UTX,AIG,VZ,MO,WMT
02/28/2007,MMM,AXP,T,BA,CAT,HON,C,KO,DIS,DD,XOM,GE,AA,HD,IBM,INTC,JNJ,JPM,MCD,MRK,MSFT,HPQ,PFE,PG,GM,UTX,AIG,VZ,MO,WMT
03/01/2007,MMM,AXP,T,BA,CAT,HON,C,KO,DIS,DD,XOM,GE,AA,HD,IBM,INTC,JNJ,JPM,MCD,MRK,MSFT,HPQ,PFE,PG,GM,UTX,AIG,VZ,MO,WMT
03/02/2007,MMM,AXP,T,BA,CAT,HON,C,KO,DIS,DD,XOM,GE,AA,HD,IBM,INTC,JNJ,JPM,MCD,MRK,MSFT,HPQ,PFE,PG,GM,UTX,AIG,VZ,MO,WMT
03/05/2007,MMM,AXP,T,BA,CAT,HON,C,KO,DIS,DD,XOM,GE,AA,HD,IBM,INTC,JNJ,JPM,MCD,MRK,MSFT,HPQ,PFE,PG,GM,UTX,AIG,VZ,MO,WMT
