Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
1970-04-08,44.5,44.88,44.38,44.88,80400.0,0.0,1.0,3.7726077950018,3.80482332224,3.7624344706108,3.80482332224,321600.0
1970-04-09,44.75,44.75,44.0,44.75,130000.0,0.0,1.0,3.7938022208164,3.7938022208164,3.7302189433725,3.7938022208164,520000.0
1970-04-10,44.75,44.75,44.38,44.5,90000.0,0.0,1.0,3.7938022208164,3.7938022208164,3.7624344706108,3.7726077950018,360000.0
1970-04-13,44.5,44.75,44.12,44.25,102000.0,0.0,1.0,3.7726077950018,3.7938022208164,3.7403922677636,3.7514133691872,408000.0
1970-04-14,44.25,44.25,43.75,43.88,140800.0,0.0,1.0,3.7514133691872,3.7514133691872,3.7090245175579,3.7200456189815,563200.0
1970-04-15,43.88,44.0,43.62,43.88,96400.0,0.0,1.0,3.7200456189815,3.7302189433725,3.6980034161343,3.7200456189815,385600.0
1970-04-16,43.88,43.88,43.0,43.25,204000.0,0.0,1.0,3.7200456189815,3.7200456189815,3.6454412401141,3.6666356659287,816000.0
1970-04-17,43.25,43.62,43.0,43.38,71600.0,0.0,1.0,3.6666356659287,3.6980034161343,3.6454412401141,3.6776567673523,286400.0
1970-04-20,43.38,43.75,43.25,43.38,87600.0,0.0,1.0,3.6776567673523,3.7090245175579,3.6666356659287,3.6776567673523,350400.0
1970-04-21,43.38,43.62,43.12,43.38,75600.0,0.0,1.0,3.6776567673523,3.6980034161343,3.6556145645051,3.6776567673523,302400.0
1970-04-22,43.38,43.38,42.5,43.12,110000.0,0.0,1.0,3.6776567673523,3.6776567673523,3.6030523884848,3.6556145645051,440000.0
1970-04-23,43.12,43.25,42.5,43.0,129200.0,0.0,1.0,3.6556145645051,3.6666356659287,3.6030523884848,3.6454412401141,516800.0
1970-04-24,43.0,43.25,42.25,42.38,137200.0,0.0,1.0,3.6454412401141,3.6666356659287,3.5818579626702,3.5928790640938,548800.0
1970-04-27,42.38,42.75,42.0,42.0,145600.0,0.0,1.0,3.5928790640938,3.6242468142995,3.5606635368556,3.5606635368556,582400.0
1970-04-28,42.0,42.38,41.0,41.38,215200.0,0.0,1.0,3.5606635368556,3.5928790640938,3.4758858335971,3.5081013608354,860800.0
1970-04-29,41.38,41.88,40.0,41.75,218400.0,0.0,1.0,3.5081013608354,3.5504902124646,3.3911081303387,3.539469111041,873600.0
1970-04-30,41.75,42.38,41.38,41.75,107600.0,0.0,1.0,3.539469111041,3.5928790640938,3.5081013608354,3.539469111041,430400.0
1970-05-01,41.75,41.75,40.5,41.75,176800.0,0.0,1.0,3.539469111041,3.539469111041,3.4334969819679,3.539469111041,707200.0
1970-05-04,41.75,41.88,40.5,41.0,134400.0,0.0,1.0,3.539469111041,3.5504902124646,3.4334969819679,3.4758858335971,537600.0
1970-05-05,40.88,40.88,40.12,40.25,158400.0,0.0,1.0,3.4657125092061,3.4657125092061,3.4012814547297,3.4123025561533,633600.0
1970-05-06,40.25,40.5,39.75,40.12,296800.0,0.0,1.0,3.4123025561533,3.4334969819679,3.3699137045241,3.4012814547297,1187200.0
1970-05-07,40.12,40.38,39.62,40.12,140800.0,0.0,1.0,3.4012814547297,3.4233236575769,3.3588926031005,3.4012814547297,563200.0
1970-05-08,40.12,40.38,39.88,40.0,132800.0,0.0,1.0,3.4012814547297,3.4233236575769,3.3809348059477,3.3911081303387,531200.0
1970-05-11,40.0,40.12,39.5,39.88,145200.0,0.0,1.0,3.3911081303387,3.4012814547297,3.3487192787094,3.3809348059477,580800.0
1970-05-12,39.88,40.5,39.25,39.88,228400.0,0.0,1.0,3.3809348059477,3.4334969819679,3.3275248528948,3.3809348059477,913600.0
1970-05-13,39.88,40.0,38.62,39.62,185600.0,0.0,1.0,3.3809348059477,3.3911081303387,3.274114899842,3.3588926031005,742400.0
1970-05-14,39.62,40.88,39.5,40.25,211600.0,0.0,1.0,3.3588926031005,3.4657125092061,3.3487192787094,3.4123025561533,846400.0
1970-05-15,40.25,41.0,39.88,41.0,112400.0,0.0,1.0,3.4123025561533,3.4758858335971,3.3809348059477,3.4758858335971,449600.0
1970-05-18,41.0,41.5,40.5,41.5,129600.0,0.0,1.0,3.4758858335971,3.5182746852264,3.4334969819679,3.5182746852264,518400.0
1970-05-19,41.5,41.88,40.75,40.75,68400.0,0.0,1.0,3.5182746852264,3.5504902124646,3.4546914077825,3.4546914077825,273600.0
1970-05-20,40.75,41.0,40.0,40.25,84400.0,0.0,1.0,3.4546914077825,3.4758858335971,3.3911081303387,3.4123025561533,337600.0
1970-05-21,40.25,40.5,39.5,39.75,144400.0,0.0,1.0,3.4123025561533,3.4334969819679,3.3487192787094,3.3699137045241,577600.0
1970-05-22,39.75,40.88,39.62,39.88,87200.0,0.0,1.0,3.3699137045241,3.4657125092061,3.3588926031005,3.3809348059477,348800.0
1970-05-25,39.88,40.0,39.5,39.75,83600.0,0.0,1.0,3.3809348059477,3.3911081303387,3.3487192787094,3.3699137045241,334400.0
1970-05-26,39.75,39.88,39.12,39.75,133200.0,0.0,1.0,3.3699137045241,3.3809348059477,3.3165037514712,3.3699137045241,532800.0
1970-05-27,39.75,41.75,39.62,41.0,156400.0,0.0,1.0,3.3699137045241,3.539469111041,3.3588926031005,3.4758858335971,625600.0
1970-05-28,41.12,42.62,41.12,42.5,126400.0,0.0,1.0,3.4860591579882,3.6132257128759,3.4860591579882,3.6030523884848,505600.0
1970-05-29,42.5,43.62,42.12,43.5,136000.0,0.0,1.0,3.6030523884848,3.6980034161343,3.5708368612466,3.6878300917433,544000.0
1970-06-01,43.5,44.5,43.12,44.38,134400.0,0.0,1.0,3.6878300917433,3.7726077950018,3.6556145645051,3.7624344706108,537600.0
1970-06-02,44.38,44.62,43.0,43.88,108800.0,0.0,1.0,3.7624344706108,3.7827811193928,3.6454412401141,3.7200456189815,435200.0
1970-06-03,43.88,44.88,43.5,44.62,105200.0,0.0,1.0,3.7200456189815,3.80482332224,3.6878300917433,3.7827811193928,420800.0
1970-06-04,44.62,45.0,43.12,43.12,146800.0,0.0,1.0,3.7827811193928,3.814996646631,3.6556145645051,3.6556145645051,587200.0
1970-06-05,42.88,42.88,42.0,42.12,95600.0,0.0,1.0,3.6352679157231,3.6352679157231,3.5606635368556,3.5708368612466,382400.0
1970-06-08,42.12,42.5,41.62,41.88,83600.0,0.0,1.0,3.5708368612466,3.6030523884848,3.5284480096174,3.5504902124646,334400.0
1970-06-09,41.75,41.75,41.0,41.12,65200.0,0.0,1.0,3.539469111041,3.539469111041,3.4758858335971,3.4860591579882,260800.0
1970-06-10,41.12,41.38,40.62,41.12,101600.0,0.0,1.0,3.4860591579882,3.5081013608354,3.4436703063589,3.4860591579882,406400.0
1970-06-11,41.12,41.25,40.25,41.0,88400.0,0.0,1.0,3.4860591579882,3.4970802594118,3.4123025561533,3.4758858335971,353600.0
