Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
1962-01-18,50.38,51.12,50.38,50.62,11693.827160494,0.0,1.0,0.48367017892016,0.49077450469231,0.48367017892016,0.48597428457599,710400.00000001
1962-01-19,50.75,53.0,50.75,53.0,21293.827160494,0.0,1.0,0.48722234180624,0.50882333232966,0.48722234180624,0.50882333232966,1293600.0
1962-01-22,53.0,53.37,52.25,52.87,18893.827160494,0.0,1.0,0.50882333232966,0.51237549521574,0.50162300215519,0.50757527509942,1147800.0
1962-01-23,52.38,52.38,52.25,52.87,15200.0,0.0,1.0,0.50287105938543,0.50287105938543,0.50162300215519,0.50757527509942,923400.0
1962-01-24,53.0,53.25,52.25,53.25,16800.0,0.0,1.0,0.50882333232966,0.51122344238782,0.50162300215519,0.51122344238782,1020600.0
1962-01-25,53.25,54.75,53.25,54.5,47693.827160494,0.0,1.0,0.51122344238782,0.52562410273678,0.51122344238782,0.52322399267862,2897400.0
1962-01-26,54.5,54.87,53.87,54.25,31598.353909465,0.0,1.0,0.52322399267862,0.52677615556469,0.51717571533206,0.52082388262046,1919600.0
1962-01-29,54.25,54.63,53.75,54.5,15496.296296296,0.0,1.0,0.52082388262046,0.52447204990886,0.51602366250414,0.52322399267862,941399.99999998
1962-01-30,54.5,55.37,54.25,55.0,28800.0,0.0,1.0,0.52322399267862,0.53157637568101,0.52082388262046,0.52802421279493,1749600.0
1962-01-31,55.13,56.25,55.13,56.13,55693.827160494,0.0,1.0,0.52927227002518,0.54002476308573,0.52927227002518,0.53887271025781,3383400.0
1962-02-01,56.13,56.63,54.5,54.87,32398.353909465,0.0,1.0,0.53887271025781,0.54367293037413,0.52322399267862,0.52677615556469,1968200.0
1962-02-02,54.87,55.37,53.75,55.37,18195.884773663,0.0,1.0,0.52677615556469,0.53157637568101,0.51602366250414,0.53157637568101,1105400.0
1962-02-05,55.25,55.25,54.25,54.37,14696.296296296,0.00823,1.0,0.53050461331065,0.53050461331065,0.52090271985706,0.52205494707149,892799.99999998
